arrived,bus_stop_name,expected_arrival,vehicle_id,time_of_req,direction
True,Leyton Sports Ground,2020-04-06 02:48:39,20502_490G00007653_2020-04-06_in_0,2020-04-06 02:45:54,in
True,Leyton Sports Ground,2020-04-06 07:50:18,20168_490G00007653_2020-04-06_in_0,2020-04-06 07:26:34,in
True,Brunswick Road,2020-04-06 07:54:43,20158_490004533N_2020-04-06_out_2,2020-04-06 07:26:32,out
True,Hermit Road,2020-04-06 07:41:48,20170_490003750M_2020-04-06_in_0,2020-04-06 07:26:31,in
True,Canning Town Bus Station,2020-04-06 05:43:20,20158_490000039E_2020-04-06_out_1,2020-04-06 05:28:16,out
True,Colchester Road,2020-04-05 16:31:12,20168_490005459N_2020-04-05_in_0,2020-04-05 16:22:48,in
True,Lea Bridge Road / Bakers Arms,2020-04-06 03:18:50,20158_490015100H_2020-04-06_out_1,2020-04-06 02:49:23,out
True,Upper Road / Grange Road,2020-04-06 03:01:57,20502_490013943S_2020-04-06_in_0,2020-04-06 02:58:25,in
True,East London Cemetery,2020-04-05 16:27:13,20172_490007358W_2020-04-05_in_0,2020-04-05 16:23:19,in
True,Stratford Centre,2020-04-06 04:57:35,20545_490015114E_2020-04-06_in_0,2020-04-06 04:57:03,in
True,Edith Road,2020-04-05 16:26:02,20502_490006489E_2020-04-05_in_0,2020-04-05 16:22:47,in
True,Edith Road,2020-04-05 18:27:28,20172_490006489E_2020-04-05_in_1,2020-04-05 17:58:44,in
True,Maryland Station,2020-04-06 02:38:09,20272_490001190N_2020-04-06_out_0,2020-04-06 02:33:51,out
True,Colchester Road,2020-04-05 16:50:10,20496_490005459N_2020-04-05_out_0,2020-04-05 16:22:47,out
True,Stephens Court,2020-04-05 16:29:05,20172_490012666N_2020-04-05_in_0,2020-04-05 16:22:49,in
True,Stratford Broadway,2020-04-06 05:36:08,20545_490012903Z_2020-04-06_out_0,2020-04-06 05:28:15,out
True,Hoe Street / Bakers Arms,2020-04-05 15:08:52,20505_490015099B_2020-04-05_out_0,2020-04-05 14:50:08,out
True,Burgess Road,2020-04-05 15:41:03,20229_490009140E_2020-04-05_in_0,2020-04-05 15:40:46,in
True,Drapers Field,2020-04-06 02:15:22,20502_490013194S_2020-04-06_out_0,2020-04-06 01:57:53,out
True,East London Cemetery,2020-04-05 16:27:08,20503_490007358W_2020-04-05_in_0,2020-04-05 16:04:46,in
True,Plaistow Station,2020-04-05 16:32:12,20505_490000182B_2020-04-05_out_0,2020-04-05 16:23:18,out
True,Edith Road,2020-04-06 05:15:19,20496_490006489E_2020-04-06_in_0,2020-04-06 04:56:31,in
True,Hermit Road,2020-04-06 05:32:44,20496_490003750M_2020-04-06_in_0,2020-04-06 05:28:13,in
True,Plaistow Station,2020-04-03 03:51:57,20544_490000182B_2020-04-03_out_0,2020-04-03 03:36:47,out
True,The Grove,2020-04-06 05:19:56,20168_490013402Q_2020-04-06_out_0,2020-04-06 05:05:42,out
True,Grosvenor Park Road,2020-04-05 16:11:25,20502_490007547S_2020-04-05_in_0,2020-04-05 15:42:45,in
True,Canning Town Bus Station,2020-04-06 07:49:20,20496_490000039E_2020-04-06_out_0,2020-04-06 07:26:34,out
True,Morley Road,2020-04-05 18:07:23,20545_490005620K_2020-04-05_out_2,2020-04-05 17:58:44,out
True,Colchester Road,2020-04-05 17:58:46,20168_490005459N_2020-04-05_out_1,2020-04-05 17:58:45,out
True,Stratford Broadway,2020-04-05 16:35:45,20505_490012903Z_2020-04-05_out_0,2020-04-05 16:22:48,out
True,Plaistow Grove,2020-04-05 15:52:00,20545_490011043E_2020-04-05_out_0,2020-04-05 15:42:45,out
True,Leyton Station,2020-04-05 16:48:12,20158_490G00136A_2020-04-05_in_0,2020-04-05 16:22:49,in
True,Morley Road,2020-04-05 16:37:42,20502_490005620K_2020-04-05_in_0,2020-04-05 16:22:47,in
True,Chobham Road,2020-04-05 15:00:37,20503_490G00005214_2020-04-05_out_0,2020-04-05 14:58:45,out
True,Leyton Library,2020-04-05 16:22:38,20502_490009137J_2020-04-05_in_0,2020-04-05 15:54:46,in
True,Leyton Station,2020-04-05 16:22:36,20502_490G00136A_2020-04-05_in_0,2020-04-05 16:22:49,in
True,Colchester Road,2020-04-06 02:47:38,20502_490005459N_2020-04-06_in_0,2020-04-06 02:45:53,in
True,Grove Road,2020-04-05 18:12:08,20172_490007576S_2020-04-05_in_1,2020-04-05 17:46:47,in
True,Star Lane,2020-04-06 02:25:25,20272_490012596N_2020-04-06_out_0,2020-04-06 01:57:51,out
True,Vicarage Road,2020-04-03 03:48:40,20168_490014044R_2020-04-03_out_0,2020-04-03 03:40:47,out
True,Millais Road,2020-04-05 15:17:24,20172_490006178N_2020-04-05_out_0,2020-04-05 15:08:47,out
True,East London Cemetery,2020-04-06 02:03:12,20272_490007358W_2020-04-06_in_0,2020-04-06 01:57:53,in
