vehicle_id,bus_stop_name,expected_arrival,time_of_req,direction,arrived
20189_490008898F_2020-04-15_out_0,St Charles Square,2020-04-15 17:19:05,2020-04-15 17:19:03,out,1
20189_490003619M_2020-04-15_out_0,Barlby Road,2020-04-15 17:19:39,2020-04-15 17:19:04,out,1
20197_490005064N_2020-04-15_out_0,Battersea Park / Chelsea Gate,2020-04-15 17:21:01,2020-04-15 17:19:08,out,1
20191_490008898F_2020-04-15_in_0,St Charles Square,2020-04-15 17:21:24,2020-04-15 17:19:20,in,1
20279_490011750W_2020-04-15_out_0,Royal Albert Hall,2020-04-15 17:19:55,2020-04-15 17:19:26,out,1
20190_490015175C_2020-04-15_in_0,Sloane Square,2020-04-15 17:20:55,2020-04-15 17:19:35,in,1
20212_490G01016A_2020-04-15_in_0,Battersea Park Station,2020-04-15 17:21:12,2020-04-15 17:19:36,in,1
20197_490G00012235_2020-04-15_out_0,Sopwith Way,2020-04-15 17:19:26,2020-04-15 17:19:40,out,1
20191_490004737S_2020-04-15_in_0,Kensal House,2020-04-15 17:20:07,2020-04-15 17:19:41,in,1
20189_490004737S_2020-04-15_out_0,Kensal House,2020-04-15 17:20:56,2020-04-15 17:19:45,out,1
20212_490G00012235_2020-04-15_in_0,Sopwith Way,2020-04-15 17:19:45,2020-04-15 17:19:46,in,1
20275_490011750W_2020-04-15_in_0,Royal Albert Hall,2020-04-15 17:19:31,2020-04-15 17:19:47,in,1
20191_490003619M_2020-04-15_in_0,Barlby Road,2020-04-15 17:20:36,2020-04-15 17:19:50,in,1
20279_490G00010728_2020-04-15_out_0,Palace Gate,2020-04-15 17:20:17,2020-04-15 17:19:54,out,1
20279_490011761M_2020-04-15_out_0,Kensington Palace,2020-04-15 17:21:20,2020-04-15 17:20:01,out,1
20279_490012055N_2020-04-15_out_0,Sheffield Terrace,2020-04-15 17:24:25,2020-04-15 17:19:03,out,1
20189_490007860N_2020-04-15_out_0,Kilburn Lane / Harrow Road,2020-04-15 17:23:32,2020-04-15 17:22:24,out,1
20191_490000131A_2020-04-15_in_0,Ladbroke Grove Station,2020-04-15 17:22:52,2020-04-15 17:22:26,in,1
20189_490008897T_2020-04-15_out_0,Ladbroke Grove Sainsbury's,2020-04-15 17:21:40,2020-04-15 17:19:10,out,1
20191_490005139C_2020-04-15_in_0,Chesterton Road,2020-04-15 17:22:09,2020-04-15 17:19:17,in,1
20190_490000206M_2020-04-15_in_0,Sloane Square Stn  / Lower Sloane St,2020-04-15 17:22:21,2020-04-15 17:19:25,in,1
20197_490011763N_2020-04-15_out_0,Royal Hospital Road,2020-04-15 17:24:20,2020-04-15 17:22:42,out,1
20198_490G00012622_2020-04-15_in_0,Station Terrace,2020-04-15 17:23:45,2020-04-15 17:22:44,in,1
