vehicle_id,bus_stop_name,expected_arrival,time_of_req,direction,arrived
7653_490005933S_2020-04-15_in_0,Dalberg Road / Effra Parade,2020-04-15 14:13:57,2020-04-15 14:12:50,in,1
8445_490015275W_2020-04-15_out_0,Brixton Water Lane,2020-04-15 14:13:31,2020-04-15 14:12:52,out,1
9801_490010877W_2020-04-15_out_0,Peckham Bus Station,2020-04-15 14:14:00,2020-04-15 14:12:59,out,1
8885_490003259E_2020-04-15_in_0,East Hill / Alma Road,2020-04-15 14:13:01,2020-04-15 14:13:19,in,1
8347_490013755S_2020-04-15_in_0,Townley Road,2020-04-15 14:13:03,2020-04-15 14:13:26,in,1
8991_490001090U_2020-04-15_out_0,Derwent Grove,2020-04-15 14:13:13,2020-04-15 14:13:31,out,1
9283_490015236M_2020-04-15_out_0,Long Road / Clapham Common,2020-04-15 14:13:45,2020-04-15 14:13:32,out,1
9277_490011285E2_2020-04-15_out_0,Putney Heath / Green Man,2020-04-15 14:13:53,2020-04-15 14:13:41,out,1
7653_490009933W_2020-04-15_in_0,Milton Road,2020-04-15 14:15:18,2020-04-15 14:14:56,in,1
8351_490012340N_2020-04-15_in_0,Lytton Grove,2020-04-15 14:16:13,2020-04-15 14:14:56,in,1
8347_490001090U_2020-04-15_in_0,Derwent Grove,2020-04-15 14:15:35,2020-04-15 14:14:58,in,1
8885_490015404E_2020-04-15_in_0,Marcilly Road,2020-04-15 14:14:45,2020-04-15 14:12:49,in,1
8991_490013755S_2020-04-15_out_0,Townley Road,2020-04-15 14:15:22,2020-04-15 14:12:54,out,1
8991_490006237W_2020-04-15_out_0,Dulwich Village,2020-04-15 14:16:34,2020-04-15 14:12:57,out,1
8351_490011285N_2020-04-15_in_0,Putney Hill / Green Man,2020-04-15 14:15:08,2020-04-15 14:15:10,in,1
8347_490006334E_2020-04-15_in_0,Tessa Jowell Health Centre,2020-04-15 14:14:54,2020-04-15 14:15:11,in,1
8991_490006334W_2020-04-15_out_0,Tessa Jowell Healtrh Centre,2020-04-15 14:14:28,2020-04-15 14:13:02,out,1
8548_490008418W_2020-04-15_out_0,Huguenot Place / Alma Road,2020-04-15 14:14:42,2020-04-15 14:13:03,out,1
8885_490011066W_2020-04-15_in_0,Plough Road,2020-04-15 14:15:32,2020-04-15 14:13:06,in,1
8445_490G00005847_2020-04-15_out_0,Morval Road,2020-04-15 14:14:30,2020-04-15 14:13:19,out,1
8445_490012810N_2020-04-15_out_0,St Matthews Estate,2020-04-15 14:15:10,2020-04-15 14:13:21,out,1
9283_490011673E_2020-04-15_out_0,Rookery Road,2020-04-15 14:14:41,2020-04-15 14:13:27,out,1
8351_490011285E2_2020-04-15_in_0,Putney Heath / Green Man,2020-04-15 14:14:26,2020-04-15 14:13:30,in,1
9283_490004913E_2020-04-15_out_0,Cedars Road,2020-04-15 14:15:41,2020-04-15 14:13:31,out,1
8548_490008093W_2020-04-15_out_0,Herndon Road,2020-04-15 14:15:27,2020-04-15 14:13:34,out,1
8548_490G00014195_2020-04-15_out_0,Wandsworth Town Hall,2020-04-15 14:15:57,2020-04-15 14:13:39,out,1
8347_490012417L_2020-04-15_in_0,Goose Green,2020-04-15 14:16:01,2020-04-15 14:13:40,in,1
7653_490004402W_2020-04-15_in_0,Brockwell Lido,2020-04-15 14:15:59,2020-04-15 14:15:26,in,1
8885_490005332T_2020-04-15_in_0,Clapham Junction Station  / The Falcon,2020-04-15 14:18:30,2020-04-15 14:12:53,in,1
9283_490012182E_2020-04-15_out_0,Sisters Avenue,2020-04-15 14:17:31,2020-04-15 14:15:06,out,1
8351_490009543E_2020-04-15_in_0,Manfred Road,2020-04-15 14:18:19,2020-04-15 14:18:31,in,1
8347_490007299H_2020-04-15_in_0,East Dulwich Road / Goose Green,2020-04-15 14:17:56,2020-04-15 14:13:01,in,1
7653_490015247D_2020-04-15_in_0,Herne Hill,2020-04-15 14:18:35,2020-04-15 14:18:43,in,1
8445_490012222W_2020-04-15_out_0,Solon Road,2020-04-15 14:18:45,2020-04-15 14:18:44,out,1
9283_490005333V_2020-04-15_out_0,Clapham Junction / The Northcote,2020-04-15 14:18:37,2020-04-15 14:18:46,out,1
8991_490003757W_2020-04-15_out_0,Beckwith Road,2020-04-15 14:18:03,2020-04-15 14:15:22,out,1
8347_490010490W_2020-04-15_in_0,Oakhurst Grove,2020-04-15 14:18:49,2020-04-15 14:15:23,in,1
8548_490014189Y_2020-04-15_out_0,Wandsworth Police Station,2020-04-15 14:17:46,2020-04-15 14:15:28,out,1
8885_490001069M_2020-04-15_in_0,Clapham Junction Station,2020-04-15 14:16:42,2020-04-15 14:13:19,in,1
8991_490001210N_2020-04-15_out_0,North Dulwich Station,2020-04-15 14:17:11,2020-04-15 14:13:20,out,1
8351_490001231F_2020-04-15_in_0,Putney Station,2020-04-15 14:17:29,2020-04-15 14:15:32,in,1
8445_490008919A_2020-04-15_out_0,Lambeth Town Hall,2020-04-15 14:17:03,2020-04-15 14:16:54,out,1
7653_490001149L_2020-04-15_in_0,Herne Hill Station,2020-04-15 14:16:59,2020-04-15 14:16:54,in,1
8351_490001231N_2020-04-15_in_0,St John's Avenue,2020-04-15 14:16:44,2020-04-15 14:13:35,in,1
9283_490006945N_2020-04-15_out_0,Forthbridge Road,2020-04-15 14:16:53,2020-04-15 14:13:40,out,1
8351_490G00069EB_2020-04-15_in_0,East Putney Station,2020-04-15 14:17:58,2020-04-15 14:16:55,in,1
7653_490011810E_2020-04-15_in_0,Ruskin Walk,2020-04-15 14:19:18,2020-04-15 14:18:20,in,1
8445_490010776E_2020-04-15_out_0,Park Hill,2020-04-15 14:21:06,2020-04-15 14:20:42,out,1
8991_490011810E_2020-04-15_out_0,Ruskin Walk,2020-04-15 14:19:42,2020-04-15 14:12:56,out,1
8351_490009836A_2020-04-15_in_0,Merton Road,2020-04-15 14:21:00,2020-04-15 14:20:50,in,1
9283_490001069M_2020-04-15_out_0,Clapham Junction Station,2020-04-15 14:20:32,2020-04-15 14:18:34,out,1
9283_490005333Z_2020-04-15_out_0,Northcote Road,2020-04-15 14:20:00,2020-04-15 14:13:04,out,1
8445_490003071E_2020-04-15_out_0,Belvedere Place,2020-04-15 14:19:50,2020-04-15 14:15:17,out,1
9283_490006403E_2020-04-15_out_0,Eccles Road,2020-04-15 14:19:38,2020-04-15 14:15:21,out,1
8548_490009836A_2020-04-15_out_0,Merton Road,2020-04-15 14:19:02,2020-04-15 14:18:50,out,1
8548_490009543E_2020-04-15_out_0,Manfred Road,2020-04-15 14:20:19,2020-04-15 14:15:26,out,1
8548_490012985E_2020-04-15_out_0,Galveston Road,2020-04-15 14:19:56,2020-04-15 14:18:55,out,1
8445_490G00003796_2020-04-15_out_0,Bedford Road,2020-04-15 14:20:25,2020-04-15 14:18:55,out,1
8548_490G00069EB_2020-04-15_out_0,East Putney Station,2020-04-15 14:20:43,2020-04-15 14:21:06,out,1
8991_490015247D_2020-04-15_out_0,Herne Hill,2020-04-15 14:19:55,2020-04-15 14:13:14,out,1
8347_490008807W_2020-04-15_in_0,East Dulwich Road / Peckham Rye,2020-04-15 14:18:59,2020-04-15 14:19:00,in,1
8347_490010269N_2020-04-15_in_0,Nigel Road,2020-04-15 14:21:13,2020-04-15 14:21:02,in,1
7653_490003757W_2020-04-15_in_0,Beckwith Road,2020-04-15 14:20:38,2020-04-15 14:19:18,in,1
8885_490005333V_2020-04-15_in_0,Clapham Junction / The Northcote,2020-04-15 14:20:15,2020-04-15 14:17:09,in,1
8347_490001223U_2020-04-15_in_0,Peckham Rye Station,2020-04-15 14:23:06,2020-04-15 14:22:55,in,1
8347_490008037X_2020-04-15_in_0,Heaton Road,2020-04-15 14:23:04,2020-04-15 14:20:36,in,1
8351_490003383E_2020-04-15_in_0,Armoury Way,2020-04-15 14:21:38,2020-04-15 14:20:38,in,1
8885_490012182E_2020-04-15_in_0,Sisters Avenue,2020-04-15 14:22:52,2020-04-15 14:22:46,in,1
9283_490011066W_2020-04-15_out_0,Plough Road,2020-04-15 14:22:19,2020-04-15 14:22:46,out,1
8885_490006403E_2020-04-15_in_0,Eccles Road,2020-04-15 14:21:32,2020-04-15 14:18:30,in,1
8884_490011285N_2020-04-15_in_0,Putney Hill / Green Man,2020-04-15 14:22:08,2020-04-15 14:20:48,in,1
8351_490012985E_2020-04-15_in_0,Galveston Road,2020-04-15 14:21:20,2020-04-15 14:15:18,in,1
8991_490004402W_2020-04-15_out_0,Brockwell Lido,2020-04-15 14:22:07,2020-04-15 14:13:09,out,1
8445_490000050E_2020-04-15_out_0,Clapham Common Station,2020-04-15 14:23:08,2020-04-15 14:21:01,out,1
8991_490001149L_2020-04-15_out_0,Herne Hill Station,2020-04-15 14:21:25,2020-04-15 14:21:11,out,1
7653_490013755S_2020-04-15_in_0,Townley Road,2020-04-15 14:22:58,2020-04-15 14:21:15,in,1
8548_490001231F_2020-04-15_out_0,Putney Station,2020-04-15 14:22:40,2020-04-15 14:16:52,out,1
7653_490001210N_2020-04-15_in_0,North Dulwich Station,2020-04-15 14:21:48,2020-04-15 14:21:25,in,1
8445_490015236M_2020-04-15_out_0,Long Road / Clapham Common,2020-04-15 14:23:40,2020-04-15 14:23:44,out,1
9283_490015404E_2020-04-15_out_0,Marcilly Road,2020-04-15 14:23:45,2020-04-15 14:19:13,out,1
9283_490G00004538_2020-04-15_out_0,Brussels Road,2020-04-15 14:22:45,2020-04-15 14:19:14,out,1
8991_490005054N_2020-04-15_out_0,Chaucer Road / Effra Parade,2020-04-15 14:23:27,2020-04-15 14:21:30,out,1
9801_490007758M_2020-04-15_out_0,The Aylesham Centre,2020-04-15 14:22:47,2020-04-15 14:20:46,out,1
8884_490011285E2_2020-04-15_in_0,Putney Heath / Green Man,2020-04-15 14:22:17,2020-04-15 14:21:23,in,1
7653_490001090U_2020-04-15_in_0,Derwent Grove,2020-04-15 14:25:22,2020-04-15 14:25:18,in,1
8991_490015275W_2020-04-15_out_0,Brixton Water Lane,2020-04-15 14:23:52,2020-04-15 14:20:41,out,1
8884_490012340N_2020-04-15_in_0,Lytton Grove,2020-04-15 14:23:55,2020-04-15 14:22:48,in,1
8885_490004913E_2020-04-15_in_0,Cedars Road,2020-04-15 14:25:38,2020-04-15 14:25:17,in,1
9283_490008418W_2020-04-15_out_0,Huguenot Place / Alma Road,2020-04-15 14:25:15,2020-04-15 14:18:35,out,1
7653_490006334E_2020-04-15_in_0,Tessa Jowell Health Centre,2020-04-15 14:24:22,2020-04-15 14:20:49,in,1
9285_490010877W_2020-04-15_out_0,Peckham Bus Station,2020-04-15 14:26:00,2020-04-15 14:12:59,out,1
8548_490012340N_2020-04-15_out_0,Lytton Grove,2020-04-15 14:24:07,2020-04-15 14:15:25,out,1
