vehicle_id,bus_stop_name,expected_arrival,time_of_req,direction,arrived
20055_490007350N_2020-04-15_out_0,Grange Park Road,2020-04-15 17:19:48,2020-04-15 17:18:12,out,1
20488_490015100H_2020-04-15_out_0,Lea Bridge Road / Bakers Arms,2020-04-15 17:19:30,2020-04-15 17:18:17,out,1
20548_490007350N_2020-04-15_in_0,Grange Park Road,2020-04-15 17:18:55,2020-04-15 17:18:19,in,1
20055_490G00004557_2020-04-15_out_0,Buckingham Road,2020-04-15 17:18:45,2020-04-15 17:18:22,out,1
20505_490008540S_2020-04-15_in_0,Janson Road,2020-04-15 17:18:35,2020-04-15 17:18:24,in,1
20548_490G00004557_2020-04-15_in_0,Buckingham Road,2020-04-15 17:20:04,2020-04-15 17:18:25,in,1
20498_490000182B_2020-04-15_out_0,Plaistow Station,2020-04-15 17:19:49,2020-04-15 17:18:28,out,1
20505_490001190N_2020-04-15_in_0,Maryland Station,2020-04-15 17:20:11,2020-04-15 17:18:35,in,1
20545_490009536N_2020-04-15_out_0,Maryland Station  / Manbey Grove,2020-04-15 17:19:58,2020-04-15 17:18:06,out,1
20498_490006878N2_2020-04-15_out_0,Florence Road,2020-04-15 17:18:36,2020-04-15 17:18:39,out,1
20545_490013402Q_2020-04-15_out_0,The Grove,2020-04-15 17:18:50,2020-04-15 17:18:40,out,1
20505_490G00005214_2020-04-15_in_0,Chobham Road,2020-04-15 17:19:25,2020-04-15 17:18:49,in,1
20498_490005620K_2020-04-15_out_0,Morley Road,2020-04-15 17:20:33,2020-04-15 17:18:09,out,1
20545_490001190N_2020-04-15_out_0,Maryland Station,2020-04-15 17:20:50,2020-04-15 17:18:14,out,1
20548_490009137J_2020-04-15_in_0,Leyton Library,2020-04-15 17:21:06,2020-04-15 17:18:19,in,1
20168_490014164A_2020-04-15_in_0,Walthamstow Bus Station,2020-04-15 17:21:00,2020-04-15 17:18:20,in,1
20488_490015099B_2020-04-15_out_0,Hoe Street / Bakers Arms,2020-04-15 17:21:46,2020-04-15 17:21:36,out,1
20055_490005459N_2020-04-15_out_0,Colchester Road,2020-04-15 17:22:55,2020-04-15 17:21:37,out,1
