vehicle_id,bus_stop_name,expected_arrival,time_of_req,direction,arrived
20195_490011198W_2020-04-24_out_0,Prince Of Wales Gate,2020-04-24 09:59:45,2020-04-24 09:59:38,out,1
20198_490008898F_2020-04-24_out_0,St Charles Square,2020-04-24 09:59:55,2020-04-24 09:59:40,out,1
20198_490003619M_2020-04-24_out_0,Barlby Road,2020-04-24 10:00:38,2020-04-24 09:59:40,out,1
20276_490005678X_2020-04-24_out_0,Covent Garden Market East Side,2020-04-24 10:00:11,2020-04-24 09:55:52,out,1
20212_490007860N_2020-04-24_out_0,Kilburn Lane / Harrow Road,2020-04-24 09:56:39,2020-04-24 09:55:53,out,1
20198_490007860N_2020-04-24_out_0,Kilburn Lane / Harrow Road,2020-04-24 10:03:10,2020-04-24 10:01:21.660000,out,1
20198_490000131A_2020-04-24_out_0,Ladbroke Grove Station,2020-04-24 09:59:42,2020-04-24 09:55:53,out,1
20197_490012162E_2020-04-24_in_0,Silverthorne Road,2020-04-24 10:03:34,2020-04-24 10:00:00,in,1
20195_490000130KE_2020-04-24_out_0,Knightsbridge Station  / Harrods,2020-04-24 09:58:15,2020-04-24 09:55:54,out,1
20279_490000130KE_2020-04-24_out_0,Knightsbridge Station  / Harrods,2020-04-24 10:04:29,2020-04-24 10:03:33.942000,out,1
20195_490011822W_2020-04-24_out_0,Knightsbridge Barracks,2020-04-24 09:59:09,2020-04-24 09:55:55,out,1
20279_490011822W_2020-04-24_out_0,Knightsbridge Barracks,2020-04-24 10:05:16,2020-04-24 10:03:34.487000,out,1
20281_490000131A_2020-04-24_in_0,Ladbroke Grove Station,2020-04-24 09:57:00,2020-04-24 09:55:55,in,1
20279_490005064N_2020-04-24_out_0,Battersea Park / Chelsea Gate,2020-04-24 09:57:25,2020-04-24 09:55:56,out,1
20194_490011097S_2020-04-24_in_0,Pont Street,2020-04-24 10:04:59,2020-04-24 10:03:36.041000,in,1
20284_490010921S_2020-04-24_out_0,Wandsworth Road Station,2020-04-24 09:56:46,2020-04-24 09:55:56,out,1
20276_490010921S_2020-04-24_out_0,Wandsworth Road Station,2020-04-24 10:04:46,2020-04-24 10:03:36.593000,out,1
20198_490008897T_2020-04-24_out_0,Ladbroke Grove Sainsbury's,2020-04-24 10:02:14,2020-04-24 09:59:46,out,1
20281_490005139C_2020-04-24_in_0,Chesterton Road,2020-04-24 09:55:44,2020-04-24 09:55:57,in,1
20275_490008978N1_2020-04-24_in_0,Larkhall Park,2020-04-24 09:59:03,2020-04-24 09:55:58,in,1
20275_490013908N_2020-04-24_in_0,Union Road,2020-04-24 09:57:28,2020-04-24 09:55:58,in,1
20279_490000206K_2020-04-24_out_0,Sloane Square Station,2020-04-24 10:00:18,2020-04-24 09:59:48,out,1
20276_490014679S_2020-04-24_out_0,Wilcox Road,2020-04-24 10:01:18,2020-04-24 09:56:00,out,1
20284_490014192N2_2020-04-24_out_0,Queenstown Road / Wandsworth Road,2020-04-24 10:00:13,2020-04-24 09:59:49,out,1
20195_490006691W_2020-04-24_out_0,Exhibition Road,2020-04-24 10:00:19,2020-04-24 09:59:50,out,1
20275_490012940N_2020-04-24_in_0,St Rule Street,2020-04-24 09:56:00,2020-04-24 09:56:01,in,1
20196_490007860S_2020-04-24_in_0,Harrow Road / Kilburn Lane,2020-04-24 10:02:00,2020-04-24 09:59:52,in,1
20195_490011750W_2020-04-24_out_0,Royal Albert Hall,2020-04-24 10:02:15,2020-04-24 09:56:03,out,1
20197_490014192N2_2020-04-24_in_0,Queenstown Road / Wandsworth Road,2020-04-24 10:05:14,2020-04-24 10:03:44.712000,in,1
20196_490008897T_2020-04-24_in_0,Ladbroke Grove Sainsbury's,2020-04-24 10:03:50,2020-04-24 09:59:55,in,1
20281_490000167K_2020-04-24_in_0,Palace Gardens Terr / Notting Hill Gte,2020-04-24 10:04:10,2020-04-24 09:56:06,in,1
20279_490011763N_2020-04-24_out_0,Royal Hospital Road,2020-04-24 10:00:30,2020-04-24 09:56:06,out,1
20196_490012622S_2020-04-24_in_0,Station Terrace,2020-04-24 10:00:05,2020-04-24 09:59:56,in,1
20194_490011761M_2020-04-24_in_0,Kensington Palace,2020-04-24 09:56:00,2020-04-24 09:56:07,in,1
20198_490005139C_2020-04-24_out_0,Chesterton Road,2020-04-24 10:00:05,2020-04-24 09:56:08,out,1
20197_490001234S_2020-04-24_in_0,Queenstown Road Station,2020-04-24 10:02:49,2020-04-24 09:59:57,in,1
20194_490010728E_2020-04-24_in_0,Palace Gate,2020-04-24 09:56:29,2020-04-24 09:56:09,in,1
20197_490001016C_2020-04-24_in_0,Battersea Park Station,2020-04-24 10:01:55,2020-04-24 09:56:09,in,1
20279_490005063N_2020-04-24_out_0,Royal Hospital Chelsea,2020-04-24 09:59:22,2020-04-24 09:56:11,out,1
20197_490005064N_2020-04-24_in_0,Battersea Park / Chelsea Gate,2020-04-24 09:57:40,2020-04-24 09:56:11,in,1
20279_490009205N_2020-04-24_out_0,Lister Hospital,2020-04-24 09:58:43,2020-04-24 09:56:12,out,1
20194_490011198W_2020-04-24_in_0,Prince Of Wales Gate,2020-04-24 09:59:43,2020-04-24 09:56:12,in,1
20195_490011097S_2020-04-24_out_0,Pont Street,2020-04-24 09:55:46,2020-04-24 09:56:12,out,1
20279_490011097S_2020-04-24_out_0,Pont Street,2020-04-24 10:02:12,2020-04-24 09:56:12,out,1
20279_490012235N_2020-04-24_out_0,Sopwith Way,2020-04-24 09:56:01,2020-04-24 09:56:13,out,1
20284_490011360W_2020-04-24_out_0,Cedars Road,2020-04-24 09:59:26,2020-04-24 09:56:13,out,1
20196_490004737S_2020-04-24_in_0,Kensal House,2020-04-24 10:04:40,2020-04-24 10:00:03,in,1
20275_490008969S_2020-04-24_in_0,Lansdowne Green,2020-04-24 09:59:52,2020-04-24 09:56:14,in,1
20194_490011334E1_2020-04-24_in_0,Queen's Gate,2020-04-24 09:57:07,2020-04-24 09:56:15,in,1
20284_490001234S_2020-04-24_out_0,Queenstown Road Station,2020-04-24 10:02:35,2020-04-24 09:56:15,out,1
20195_490008288H_2020-04-24_out_0,Kensington Church Street / Holland St,2020-04-24 10:05:41,2020-04-24 10:00:05,out,1
20195_490000130K1_2020-04-24_out_0,Knightsbridge Station,2020-04-24 09:57:14,2020-04-24 09:56:16,out,1
20279_490000130K1_2020-04-24_out_0,Knightsbridge Station,2020-04-24 10:03:55,2020-04-24 09:56:16,out,1
20197_490011163S_2020-04-24_in_0,Prairie Street,2020-04-24 10:04:25,2020-04-24 10:00:06,in,1
20194_490011822E_2020-04-24_in_0,Rutland Gardens,2020-04-24 10:00:51,2020-04-24 10:00:07,in,1
20281_490000167G_2020-04-24_in_0,Notting Hill Gate Station,2020-04-24 10:02:49,2020-04-24 09:56:18,in,1
20198_490004737S_2020-04-24_out_0,Kensal House,2020-04-24 10:01:33,2020-04-24 10:00:08,out,1
20197_490012235N_2020-04-24_in_0,Sopwith Way,2020-04-24 10:00:37,2020-04-24 10:00:08,in,1
20198_490004099N_2020-04-24_out_0,Blenheim Crescent,2020-04-24 09:58:01,2020-04-24 09:56:19,out,1
20194_490011750W_2020-04-24_in_0,Royal Albert Hall,2020-04-24 09:57:56,2020-04-24 09:56:19,in,1
20281_490012550S_2020-04-24_in_0,Chepstow Villas,2020-04-24 10:01:21,2020-04-24 09:56:21,in,1
20284_490012162E_2020-04-24_out_0,Silverthorne Road,2020-04-24 10:02:02,2020-04-24 09:58:37,out,1
20276_490013908N_2020-04-24_out_0,Union Road,2020-04-24 10:05:08,2020-04-24 09:56:21,out,1
20196_490003619M_2020-04-24_in_0,Barlby Road,2020-04-24 10:05:28,2020-04-24 10:00:11,in,1
20284_490011163S_2020-04-24_out_0,Prairie Street,2020-04-24 10:01:06,2020-04-24 09:56:23,out,1
20197_490009205N_2020-04-24_in_0,Lister Hospital,2020-04-24 09:56:50,2020-04-24 09:56:23,in,1
20196_490003583S_2020-04-24_in_0,Banister Road,2020-04-24 10:02:12,2020-04-24 10:00:13,in,1
20276_490008978N1_2020-04-24_out_0,Larkhall Park,2020-04-24 10:04:01,2020-04-24 09:58:35,out,1
