arrived,bus_stop_name,expected_arrival,vehicle_id,time_of_req,direction
True,North End Road,2020-04-02 10:45:04,14361_490010357F_2020-04-02_in_0,2020-04-02 10:28:46,in
True,Prince Of Wales Gate,2020-03-25 14:45:58,15449_490011198W_2020-03-25_out_0,2020-03-25 14:45:41,out
True,Regent Street / St James's,2020-04-02 16:56:47,15456_490G00011516_2020-04-02_in_1,2020-04-02 16:53:16,in
True,Bedford Street,2020-03-25 15:35:42,15449_490G00003112_2020-03-25_in_0,2020-03-25 15:35:16,in
True,Green Park / Constitution Hill,2020-03-11 10:57:25,14462_490G00007492_2020-03-11_in_0,2020-03-11 10:44:03,in
True,Prince Of Wales Gate,2020-03-11 15:00:38,15582_490011198W_2020-03-11_out_0,2020-03-11 14:45:11,out
True,North End Road,2020-04-02 11:42:14,15455_490010357F_2020-04-02_out_4,2020-04-02 11:12:42,out
True,Latymer Court,2020-04-02 20:34:55,14545_490008990Q_2020-04-02_in_8,2020-04-02 20:31:06,in
True,Aldwych / Drury Lane,2020-04-02 15:31:13,15453_490019703E_2020-04-02_out_2,2020-04-02 15:30:44,out
True,Prince Of Wales Gate,2020-03-19 11:57:13,14537_490011198W_2020-03-19_out_0,2020-03-19 11:37:43,out
True,Prince Of Wales Gate,2020-04-02 08:06:15,15459_490011198W_2020-04-02_in_0,2020-04-02 08:05:14,in
True,Old Bond Street / Royal Academy,2020-04-01 10:50:35,14361_490010526G_2020-04-01_in_0,2020-04-01 10:46:41,in
True,Holland Road,2020-04-02 07:22:59,14545_490008287E_2020-04-02_out_0,2020-04-02 07:20:43,out
True,Warwick Gardens,2020-04-01 20:03:10,14530_490003106E_2020-04-01_in_3,2020-04-01 20:00:44,in
True,Knightsbridge Barracks,2020-04-02 16:38:51,14510_490011822W_2020-04-02_in_5,2020-04-02 16:38:42,in
True,Regent Street / St James's,2020-03-25 15:48:33,15012_490G00011516_2020-03-25_in_0,2020-03-25 15:21:05,in
True,Hammersmith Bus Station,2020-04-02 10:14:46,15452_490007705F_2020-04-02_in_1,2020-04-02 09:50:44,in
True,Knightsbridge Station  / Harrods,2020-03-31 08:16:01,14530_490000130KE_2020-03-31_in_0,2020-03-31 08:08:09,in
True,Phillimore Gardens,2020-04-02 18:34:18,15452_490010984T_2020-04-02_in_6,2020-04-02 18:34:06,in
True,Palace Gate,2020-04-05 16:15:00,15447_490010728E_2020-04-05_out_0,2020-04-05 15:54:44,out
True,Knightsbridge Station  / Harrods,2020-04-02 11:45:43,15551_490000130KE_2020-04-02_out_2,2020-04-02 11:17:16,out
True,The Design Museum,2020-04-02 16:50:57,14510_490005528Y_2020-04-02_in_5,2020-04-02 16:48:44,in
True,Kensington Olympia Station,2020-03-25 15:12:16,14530_490008652C_2020-03-25_in_0,2020-03-25 15:09:09,in
True,Bedford Street,2020-04-01 17:01:57,15364_490G00003112_2020-04-01_in_0,2020-04-01 17:01:12,in
True,Kensington Palace,2020-04-02 20:44:33,15456_490G00011761_2020-04-02_in_4,2020-04-02 20:43:08,in
True,Old Bond Street / Royal Academy,2020-04-02 15:29:19,15452_490010526G_2020-04-02_out_4,2020-04-02 15:04:44,out
True,Latymer Court,2020-04-02 17:06:39,14537_490008990Q_2020-04-02_in_6,2020-04-02 16:38:43,in
True,Palace Gate,2020-03-30 06:25:43,15458_490010728E_2020-03-30_out_0,2020-03-30 06:23:32,out
True,Haymarket / Jermyn Street,2020-04-01 20:07:50,15364_490007960R_2020-04-01_out_2,2020-04-01 20:06:42,out
True,Palace Gate,2020-04-02 09:57:22,15556_490010728E_2020-04-02_out_2,2020-04-02 09:52:43,out
