arrived,bus_stop_name,expected_arrival,vehicle_id,time_of_req,direction
True,Cambridge Circus,2020-04-05 15:58:51,8920_490004695D_2020-04-05_out_0,2020-04-05 15:54:47,out
True,Putney Station,2020-04-02 05:45:00,8915_490001231B_2020-04-02_in_0,2020-04-02 05:42:44,in
True,Montague Street,2020-04-05 16:41:13,8919_490011816N_2020-04-05_in_0,2020-04-05 16:23:17,in
True,Putney Bridge Stn  / Gonville Street,2020-04-05 16:03:35,7949_490015157V_2020-04-05_in_0,2020-04-05 16:03:16,in
True,Chelsea Village,2020-04-02 14:25:29,9791_490005075E_2020-04-02_in_1,2020-04-02 14:14:46,in
True,Green Park Station,2020-04-02 15:35:15,8917_490000093PE_2020-04-02_in_1,2020-04-02 15:35:17,in
True,Parsons Green Lane / Fulham Library,2020-04-06 07:50:40,8927_490G000699_2020-04-06_out_0,2020-04-06 07:26:32,out
True,Fulham Broadway Station,2020-04-06 02:54:11,7996_490000084M_2020-04-06_in_0,2020-04-06 02:30:55,in
True,Onslow Square,2020-04-06 07:49:20,9317_490G00010603_2020-04-06_in_0,2020-04-06 07:26:32,in
True,Fulham High Street / New Kings Road,2020-04-05 17:59:25,8921_490G00007051_2020-04-05_out_0,2020-04-05 17:59:18,out
True,Chelsea Football Club,2020-04-02 19:31:13,7548_490005069E_2020-04-02_out_2,2020-04-02 19:27:35,out
True,St Mary's Church / Putney Pier,2020-04-06 06:11:00,8939_490011278S_2020-04-06_in_0,2020-04-06 05:51:19,in
True,Knightsbridge Station,2020-04-02 06:05:15,8915_490G00130KD_2020-04-02_in_0,2020-04-02 06:04:47,in
True,Hortensia Road,2020-04-02 14:26:51,9791_490008380HC_2020-04-02_in_1,2020-04-02 14:14:45,in
True,Old Bond Street / Royal Academy,2020-04-02 14:57:15,7558_490G00010526_2020-04-02_in_1,2020-04-02 14:57:17,in
True,Putney Bridge Stn  / Gonville Street,2020-04-05 16:25:54,8680_490015157V_2020-04-05_in_0,2020-04-05 16:22:46,in
True,Putney Station,2020-04-06 02:31:53,8602_490001231B_2020-04-06_in_0,2020-04-06 02:30:53,in
True,Putney Hill / Green Man,2020-04-02 07:42:06,8880_490011285N_2020-04-02_in_0,2020-04-02 07:20:45,in
True,Chelsea and Westminster Hospital,2020-04-02 12:52:53,8919_490005062HF_2020-04-02_in_1,2020-04-02 12:52:43,in
True,Sth Kensington Stn  / Old Brompton Rd,2020-04-02 20:30:17,7548_490015173D_2020-04-02_in_2,2020-04-02 20:27:35,in
True,Fulham Broadway Station,2020-04-02 11:54:13,8880_490000084M_2020-04-02_out_1,2020-04-02 11:52:47,out
True,Tottenham Court Road Station,2020-04-02 06:51:53,8920_490G00235E_2020-04-02_out_1,2020-04-02 06:48:46,out
True,Lytton Grove,2020-04-02 13:46:56,7548_490012340N_2020-04-02_out_0,2020-04-02 13:42:45,out
True,Piccadilly Circus,2020-04-02 06:08:42,8916_490000179B_2020-04-02_in_0,2020-04-02 06:07:17,in
True,Fulham Road / Beaufort Street,2020-04-05 17:54:47,8919_490G00003726_2020-04-05_out_0,2020-04-05 17:49:18,out
True,Hyde Park Corner Station,2020-04-02 14:41:56,9791_490000119T_2020-04-02_in_1,2020-04-02 14:38:44,in
True,Old Church Street,2020-04-02 09:04:50,8880_490006514N_2020-04-02_out_0,2020-04-02 08:41:17,out
True,Sth Kensington Stn  / Old Brompton Rd,2020-04-02 14:46:08,7558_490015173D_2020-04-02_in_1,2020-04-02 14:44:44,in
True,Radipole Road,2020-04-06 04:57:28,8919_490011385W_2020-04-06_out_1,2020-04-06 04:56:29,out
True,Green Park Station,2020-04-05 15:10:40,8922_490000093PE_2020-04-05_out_0,2020-04-05 15:08:44,out
True,Hyde Park Corner Station,2020-04-06 05:34:10,8939_490000119T_2020-04-06_out_0,2020-04-06 05:28:14,out
True,Green Park / Constitution Hill,2020-04-06 02:59:24,7552_490G00007492_2020-04-06_out_0,2020-04-06 02:55:23,out
True,Piccadilly Circus,2020-04-02 05:29:11,8920_490000179B_2020-04-02_out_0,2020-04-02 05:26:46,out
True,Knightsbridge Station,2020-04-06 01:34:12,7948_490G00130KD_2020-04-06_in_0,2020-04-06 01:33:53,in
True,Lytton Grove,2020-04-06 07:41:35,7948_490012340N_2020-04-06_out_1,2020-04-06 07:26:32,out
True,Parsons Green Lane / Fulham Library,2020-04-02 09:29:58,8915_490G000699_2020-04-02_in_2,2020-04-02 09:10:47,in
True,Harrods,2020-04-02 14:52:22,7558_490007841KB_2020-04-02_in_1,2020-04-02 14:34:45,in
True,Knightsbridge Station  / Harrods,2020-04-02 08:32:43,8915_490000130KC_2020-04-02_out_1,2020-04-02 08:18:45,out
True,St Mary's Church / Putney Pier,2020-04-05 18:02:52,7558_490011278S_2020-04-05_in_1,2020-04-05 17:57:17,in
True,Fulham Broadway Station,2020-04-06 02:08:11,7552_490000084M_2020-04-06_in_0,2020-04-06 01:39:52,in
True,Hortensia Road,2020-04-02 12:17:47,8918_490008380HC_2020-04-02_out_1,2020-04-02 12:16:44,out
True,Chelsea and Westminster Hospital,2020-04-02 16:09:40,9791_490005062HF_2020-04-02_out_1,2020-04-02 16:09:24,out
True,Hyde Park Corner Station,2020-04-02 10:35:43,8920_490000119T_2020-04-02_in_3,2020-04-02 10:29:18,in
True,South Kensington Station,2020-04-05 15:24:35,8922_490000212E_2020-04-05_out_0,2020-04-05 15:23:18,out
True,Fulham Road / Beaufort Street,2020-04-06 02:35:56,7558_490G00003726_2020-04-06_out_0,2020-04-06 02:33:54,out
True,Parsons Green Lane / Fulham Library,2020-04-02 14:25:27,8916_490G000699_2020-04-02_out_3,2020-04-02 14:06:45,out
True,Denmark Street,2020-04-02 04:59:12,8920_490004695A_2020-04-02_in_0,2020-04-02 04:44:47,in
True,Onslow Square,2020-04-02 12:48:44,8915_490G00010603_2020-04-02_in_3,2020-04-02 12:48:45,in
True,British Museum,2020-04-02 11:12:08,7987_490003794O_2020-04-02_in_0,2020-04-02 10:54:48,in
True,Bedford Place,2020-04-02 11:12:17,8920_490011815K_2020-04-02_out_3,2020-04-02 11:12:45,out
True,Putney Hill / Green Man,2020-04-02 06:08:47,8920_490011285N_2020-04-02_in_1,2020-04-02 06:08:44,in
True,Edith Grove,2020-04-02 15:03:19,8931_490G00006437_2020-04-02_in_0,2020-04-02 15:01:17,in
True,Gerrard Place / Chinatown,2020-04-06 05:02:48,8939_490016425WA_2020-04-06_in_0,2020-04-06 04:56:32,in
True,Green Park Station,2020-04-06 04:39:20,8919_490000093PE_2020-04-06_out_0,2020-04-06 04:30:04,out
True,Brompton Square,2020-04-05 18:01:40,7949_490004437W_2020-04-05_out_0,2020-04-05 17:58:44,out
True,South Kensington Station,2020-04-02 12:36:28,8916_490000212E_2020-04-02_in_3,2020-04-02 12:33:16,in
True,Munster Road,2020-04-02 11:00:46,8940_490010123W2_2020-04-02_out_2,2020-04-02 11:00:44,out
True,Green Park Station,2020-04-02 12:30:06,8594_490000093PE_2020-04-02_out_0,2020-04-02 12:26:43,out
True,Munster Road,2020-04-02 14:16:56,8940_490010123W2_2020-04-02_out_3,2020-04-02 14:15:16,out
True,St John's Avenue,2020-04-02 10:55:02,9791_490G00004634_2020-04-02_in_0,2020-04-02 10:54:48,in
True,South Kensington Station,2020-04-06 05:24:19,8915_490000212E_2020-04-06_in_0,2020-04-06 05:20:16,in
True,Royal Brompton Hosp / Royal Marsden Hosp,2020-04-05 15:27:17,8922_490015421S_2020-04-05_out_0,2020-04-05 15:23:16,out
True,Piccadilly Circus,2020-04-02 09:13:06,8918_490000179B_2020-04-02_out_0,2020-04-02 08:54:46,out
True,Fulham High Street / New Kings Road,2020-04-05 16:18:11,8915_490G00007051_2020-04-05_out_0,2020-04-05 16:05:21,out
True,Fulham Broadway Station,2020-04-02 13:11:15,8880_490000084M_2020-04-02_in_2,2020-04-02 13:11:20,in
True,British Museum,2020-04-05 15:02:12,8920_490003794O_2020-04-05_in_0,2020-04-05 14:58:46,in
True,Old Church Street,2020-04-02 20:28:09,7548_490006514N_2020-04-02_in_2,2020-04-02 20:27:35,in
True,Chelsea Football Club,2020-04-02 07:46:34,8695_490005069E_2020-04-02_in_1,2020-04-02 07:43:15,in
True,St Mary's Church / Putney Pier,2020-04-05 16:49:29,8696_490011278S_2020-04-05_out_0,2020-04-05 16:22:48,out
True,Hortensia Road,2020-04-05 16:05:39,8919_490008380HC_2020-04-05_in_0,2020-04-05 16:03:17,in
True,Hortensia Road,2020-04-02 12:52:06,8919_490008380HC_2020-04-02_in_1,2020-04-02 12:50:44,in
True,Fulham Palace Road,2020-04-05 16:28:32,8920_490007054W_2020-04-05_out_0,2020-04-05 16:22:49,out
True,Old Bond Street / Royal Academy,2020-04-06 05:06:26,7948_490G00010526_2020-04-06_in_2,2020-04-06 05:06:12,in
True,Old Church Street,2020-04-02 07:35:42,8915_490006514N_2020-04-02_in_1,2020-04-02 07:06:43,in
True,Putney Station,2020-04-02 15:29:29,8916_490001231B_2020-04-02_in_3,2020-04-02 15:00:44,in
True,Putney Exchange,2020-04-06 01:34:20,7558_490011286M_2020-04-06_in_0,2020-04-06 01:33:51,in
True,Fulham Road / Beaufort Street,2020-04-02 10:57:43,7987_490G00003726_2020-04-02_in_0,2020-04-02 10:36:46,in
True,Fulham Palace Road,2020-04-02 19:33:56,7548_490007054W_2020-04-02_out_2,2020-04-02 19:33:37,out
True,Putney Station,2020-04-02 14:53:00,8919_490001231B_2020-04-02_out_1,2020-04-02 14:44:44,out
True,Green Park / Constitution Hill,2020-04-06 04:56:26,8602_490G00007492_2020-04-06_out_1,2020-04-06 04:56:30,out
True,Fulham Palace Road,2020-04-02 16:20:40,9791_490007054W_2020-04-02_out_1,2020-04-02 16:11:18,out
True,Munster Road,2020-04-06 01:36:58,7558_490010123W2_2020-04-06_in_0,2020-04-06 01:36:53,in
True,Munster Road,2020-04-02 16:02:14,8919_490010123W2_2020-04-02_in_2,2020-04-02 15:32:46,in
True,Putney Station,2020-04-02 07:20:36,8915_490001231B_2020-04-02_in_1,2020-04-02 07:02:46,in
True,Putney Heath / Green Man,2020-04-02 15:14:37,8940_490G00011285_2020-04-02_in_2,2020-04-02 14:56:46,in
True,Chelsea Football Club,2020-04-06 05:23:07,8926_490005069E_2020-04-06_out_0,2020-04-06 05:20:15,out
True,Putney Exchange,2020-04-02 13:42:32,8931_490011286M_2020-04-02_out_0,2020-04-02 13:41:17,out
True,Parsons Green Lane / Fulham Library,2020-04-06 03:22:21,7558_490G000699_2020-04-06_in_1,2020-04-06 02:54:52,in
True,Edith Grove,2020-04-02 10:18:06,8920_490G00006437_2020-04-02_in_3,2020-04-02 09:50:47,in
True,Putney Hill / Green Man,2020-04-02 15:54:24,8695_490011285N_2020-04-02_in_4,2020-04-02 15:54:44,in
True,Onslow Square,2020-04-05 15:46:11,8915_490G00010603_2020-04-05_out_0,2020-04-05 15:43:16,out
True,Radipole Road,2020-04-02 15:44:11,8915_490011385W_2020-04-02_in_4,2020-04-02 15:43:18,in
True,Fulham Palace Road,2020-04-06 05:41:24,7924_490007054W_2020-04-06_in_0,2020-04-06 05:38:43,in
True,Hortensia Road,2020-04-02 16:35:45,7548_490008380HC_2020-04-02_out_1,2020-04-02 16:34:43,out
True,Onslow Square,2020-04-02 07:53:18,8695_490G00010603_2020-04-02_in_1,2020-04-02 07:44:45,in
True,Old Bond Street / Royal Academy,2020-04-02 14:17:16,8919_490G00010526_2020-04-02_out_1,2020-04-02 14:17:18,out
True,Onslow Square,2020-04-05 15:11:44,8680_490G00010603_2020-04-05_out_0,2020-04-05 15:11:17,out
True,St John's Avenue,2020-04-02 04:32:49,8920_490G00004634_2020-04-02_in_0,2020-04-02 04:32:45,in
True,Onslow Square,2020-04-02 14:45:02,7558_490G00010603_2020-04-02_in_1,2020-04-02 14:44:45,in
True,Dean Street / Chinatown,2020-04-02 08:48:30,8880_490006008W_2020-04-02_out_0,2020-04-02 08:48:48,out
True,Putney Bridge Stn  / Gonville Street,2020-04-02 09:55:54,8880_490015157V_2020-04-02_in_1,2020-04-02 09:55:16,in
True,Munster Road,2020-04-02 07:14:10,8916_490010123W2_2020-04-02_in_0,2020-04-02 06:46:46,in
True,Hyde Park Corner Station,2020-04-06 04:41:57,8919_490000119T_2020-04-06_out_0,2020-04-06 04:30:06,out
True,Knightsbridge Station  / Harrods,2020-04-05 16:39:48,7558_490000130KC_2020-04-05_out_0,2020-04-05 16:22:47,out
True,St Mary's Church / Putney Pier,2020-04-02 05:46:53,8915_490011278S_2020-04-02_in_0,2020-04-02 05:46:45,in
True,Fulham Broadway Station,2020-04-02 13:55:06,7987_490000084M_2020-04-02_in_1,2020-04-02 13:46:45,in
True,Fulham High Street / New Kings Road,2020-04-05 18:09:31,8919_490G00007051_2020-04-05_out_1,2020-04-05 17:46:48,out
True,Putney Heath / Green Man,2020-04-02 16:45:48,7558_490G00011285_2020-04-02_out_1,2020-04-02 16:18:47,out
True,Montague Street,2020-04-06 04:37:15,8602_490011816N_2020-04-06_in_0,2020-04-06 04:36:49,in
True,Onslow Square,2020-04-06 03:05:42,7552_490G00010603_2020-04-06_out_0,2020-04-06 02:48:52,out
True,St Mary's Church / Putney Pier,2020-04-02 08:55:28,8915_490011278S_2020-04-02_out_2,2020-04-02 08:54:45,out
True,Royal Brompton Hosp / Royal Marsden Hosp,2020-04-02 08:38:36,8915_490015421S_2020-04-02_out_1,2020-04-02 08:38:44,out
True,Parsons Green Lane / Fulham Library,2020-04-02 15:40:17,8916_490G000699_2020-04-02_in_3,2020-04-02 15:11:16,in
