vehicle_id,bus_stop_name,direction,expected_arrival,timestamp,arrived
14566_490000093PB_2020-02-20_1_0,Green Park Station,1,2020-02-20 13:49:41,2020-02-20 13:50:01,True
15457_490000093PB_2020-02-20_1_0,Green Park Station,1,2020-02-20 13:59:20,2020-02-20 13:59:39,True
14576_490000093PB_2020-02-20_1_0,Green Park Station,1,2020-02-20 14:04:54,2020-02-20 14:05:08,True
15454_490000093PB_2020-02-20_0_0,Green Park Station,0,2020-02-20 13:43:36,2020-02-20 13:43:51,True
15448_490000093PB_2020-02-20_0_0,Green Park Station,0,2020-02-20 13:51:47,2020-02-20 13:51:58,True
15455_490000093PB_2020-02-20_0_0,Green Park Station,0,2020-02-20 13:54:02,2020-02-20 13:53:54,True
14462_490000093PB_2020-02-20_0_0,Green Park Station,0,2020-02-20 14:18:07,2020-02-20 14:18:32,True
14576_490000110B_2020-02-20_1_0,High Street Kensington Station,1,2020-02-20 13:44:52,2020-02-20 13:45:13,True
15582_490000110B_2020-02-20_1_0,High Street Kensington Station,1,2020-02-20 13:54:26,2020-02-20 13:54:34,True
15561_490000110B_2020-02-20_1_0,High Street Kensington Station,1,2020-02-20 14:00:26,2020-02-20 14:00:18,True
14361_490000110B_2020-02-20_0_0,High Street Kensington Station,0,2020-02-20 13:44:54,2020-02-20 13:45:13,True
15458_490000110B_2020-02-20_0_0,High Street Kensington Station,0,2020-02-20 13:51:59,2020-02-20 13:51:58,True
14530_490000110B_2020-02-20_0_0,High Street Kensington Station,0,2020-02-20 13:56:59,2020-02-20 13:57:06,True
15454_490000110B_2020-02-20_0_0,High Street Kensington Station,0,2020-02-20 14:00:24,2020-02-20 14:00:18,True
15448_490000110B_2020-02-20_0_0,High Street Kensington Station,0,2020-02-20 14:11:29,2020-02-20 14:11:28,True
14530_490000119M_2020-02-20_0_0,Hyde Park Corner Station,0,2020-02-20 13:44:34,2020-02-20 13:44:38,True
15454_490000119M_2020-02-20_0_0,Hyde Park Corner Station,0,2020-02-20 13:48:55,2020-02-20 13:48:43,True
15448_490000119M_2020-02-20_0_0,Hyde Park Corner Station,0,2020-02-20 13:57:30,2020-02-20 13:57:06,True
15455_490000119M_2020-02-20_0_0,Hyde Park Corner Station,0,2020-02-20 13:59:43,2020-02-20 13:59:40,True
14462_490000119M_2020-02-20_0_0,Hyde Park Corner Station,0,2020-02-20 14:26:49,2020-02-20 14:26:24,True
15457_490000119M_2020-02-20_1_0,Hyde Park Corner Station,1,2020-02-20 13:49:19,2020-02-20 13:49:21,True
14576_490000119M_2020-02-20_1_0,Hyde Park Corner Station,1,2020-02-20 13:58:48,2020-02-20 13:58:55,True
15582_490000119M_2020-02-20_1_0,Hyde Park Corner Station,1,2020-02-20 14:09:26,2020-02-20 14:09:37,True
14530_490000130KE_2020-02-20_0_0,Knightsbridge Station  / Harrods,0,2020-02-20 13:47:16,2020-02-20 13:47:23,True
15454_490000130KE_2020-02-20_0_0,Knightsbridge Station  / Harrods,0,2020-02-20 13:50:57,2020-02-20 13:51:24,True
15448_490000130KE_2020-02-20_0_0,Knightsbridge Station  / Harrods,0,2020-02-20 14:00:59,2020-02-20 14:01:00,True
15455_490000130KE_2020-02-20_0_0,Knightsbridge Station  / Harrods,0,2020-02-20 14:04:40,2020-02-20 14:05:08,True
14510_490000179B_2020-02-20_1_0,Piccadilly Circus,1,2020-02-20 13:46:12,2020-02-20 13:46:39,True
14566_490000179B_2020-02-20_1_0,Piccadilly Circus,1,2020-02-20 13:54:45,2020-02-20 13:55:11,True
15457_490000179B_2020-02-20_1_0,Piccadilly Circus,1,2020-02-20 14:05:59,2020-02-20 14:06:22,True
14576_490000179B_2020-02-20_1_0,Piccadilly Circus,1,2020-02-20 14:12:32,2020-02-20 14:12:48,True
15448_490000179B_2020-02-20_0_0,Piccadilly Circus,0,2020-02-20 13:47:50,2020-02-20 13:47:24,True
15455_490000179B_2020-02-20_0_0,Piccadilly Circus,0,2020-02-20 13:50:59,2020-02-20 13:50:40,True
14462_490000179B_2020-02-20_0_0,Piccadilly Circus,0,2020-02-20 14:07:08,2020-02-20 14:07:02,True
15446_490000179B_2020-02-20_0_0,Piccadilly Circus,0,2020-02-20 14:14:39,2020-02-20 14:14:43,True
15582_490003106E_2020-02-20_1_0,Warwick Gardens,1,2020-02-20 13:49:51,2020-02-20 13:50:03,True
15561_490003106E_2020-02-20_1_0,Warwick Gardens,1,2020-02-20 13:56:25,2020-02-20 13:56:31,True
14544_490003106E_2020-02-20_1_0,Warwick Gardens,1,2020-02-20 14:56:23,2020-02-20 14:56:14.019000,False
14361_490003106E_2020-02-20_0_0,Warwick Gardens,0,2020-02-20 13:49:32,2020-02-20 13:46:39,True
15458_490003106E_2020-02-20_0_0,Warwick Gardens,0,2020-02-20 13:56:26,2020-02-20 13:56:31,True
14530_490003106E_2020-02-20_0_0,Warwick Gardens,0,2020-02-20 13:59:17,2020-02-20 13:58:55,True
15454_490003106E_2020-02-20_0_0,Warwick Gardens,0,2020-02-20 14:04:24,2020-02-20 14:04:34,True
14462_490003112J_2020-02-20_0_0,Bedford Street,0,2020-02-20 13:49:03,2020-02-20 13:49:23,True
15446_490003112J_2020-02-20_0_0,Bedford Street,0,2020-02-20 13:57:01,2020-02-20 13:57:06,True
15364_490003112J_2020-02-20_0_0,Bedford Street,0,2020-02-20 14:02:55,2020-02-20 14:03:09,True
14462_490003193R_2020-02-20_0_0,Aldwych / Somerset House,0,2020-02-20 13:45:22,2020-02-20 13:43:55,True
15446_490003193R_2020-02-20_0_0,Aldwych / Somerset House,0,2020-02-20 13:53:14,2020-02-20 13:52:01,True
15364_490003193R_2020-02-20_0_0,Aldwych / Somerset House,0,2020-02-20 14:00:33,2020-02-20 13:57:43,True
