vehicle_id,bus_stop_name,direction,expected_arrival,timestamp,arrived
14462_490000093PB_2020-02-17_0,Green Park Station,1,2020-02-17 22:25:50,2020-02-17 22:24:07,True
14876_490000093PB_2020-02-17_0,Green Park Station,1,2020-02-17 22:31:16,2020-02-17 22:31:10,True
15446_490000093PB_2020-02-17_0,Green Park Station,1,2020-02-17 22:44:45,2020-02-17 22:44:33,True
15457_490000093PB_2020-02-17_0,Green Park Station,0,2020-02-18 00:01:29,2020-02-17 23:59:22,True
14576_490000093PB_2020-02-17_0,Green Park Station,0,2020-02-17 22:41:50,2020-02-17 22:42:00,True
14468_490000093PB_2020-02-17_0,Green Park Station,0,2020-02-17 22:52:28,2020-02-17 22:52:33,True
15446_490000110B_2020-02-17_0,High Street Kensington Station,1,2020-02-17 22:32:26,2020-02-17 22:32:27,True
15448_490000110B_2020-02-17_0,High Street Kensington Station,0,2020-02-17 22:35:34,2020-02-17 22:35:36,True
15457_490000110B_2020-02-17_0,High Street Kensington Station,0,2020-02-18 00:12:22,2020-02-17 23:59:22,True
15448_490000119M_2020-02-17_0,Hyde Park Corner Station,0,2020-02-17 22:24:50,2020-02-17 22:24:07,True
15457_490000119M_2020-02-17_0,Hyde Park Corner Station,0,2020-02-18 00:04:50,2020-02-17 23:59:22,True
14576_490000119M_2020-02-17_0,Hyde Park Corner Station,0,2020-02-17 22:45:24,2020-02-17 22:45:12,True
14876_490000119M_2020-02-17_0,Hyde Park Corner Station,1,2020-02-17 22:28:05,2020-02-17 22:27:07,True
15446_490000119M_2020-02-17_0,Hyde Park Corner Station,1,2020-02-17 22:41:33,2020-02-17 22:42:00,True
15448_490000130KE_2020-02-17_0,Knightsbridge Station  / Harrods,0,2020-02-17 22:26:54,2020-02-17 22:27:08,True
15457_490000130KE_2020-02-17_0,Knightsbridge Station  / Harrods,0,2020-02-18 00:05:52,2020-02-17 23:59:22,True
14576_490000130KE_2020-02-17_0,Knightsbridge Station  / Harrods,0,2020-02-17 22:47:50,2020-02-17 22:47:49,True
14876_490000179B_2020-02-17_0,Piccadilly Circus,1,2020-02-17 22:34:46,2020-02-17 22:34:59,True
14462_490000179B_2020-02-17_0,Piccadilly Circus,1,2020-02-17 22:27:44,2020-02-17 22:27:08,True
15446_490000179B_2020-02-17_0,Piccadilly Circus,1,2020-02-17 22:46:41,2020-02-17 22:47:09,True
15457_490000179B_2020-02-17_0,Piccadilly Circus,0,2020-02-17 23:58:40,2020-02-17 23:58:44,True
14576_490000179B_2020-02-17_0,Piccadilly Circus,0,2020-02-17 22:38:35,2020-02-17 22:38:49,True
14468_490000179B_2020-02-17_0,Piccadilly Circus,0,2020-02-17 22:48:49,2020-02-17 22:49:08,True
15446_490003106E_2020-02-17_0,Warwick Gardens,1,2020-02-17 22:29:33,2020-02-17 22:29:16,True
15447_490003106E_2020-02-17_0,Warwick Gardens,0,2020-02-17 22:25:19,2020-02-17 22:24:08,True
15448_490003106E_2020-02-17_0,Warwick Gardens,0,2020-02-17 22:38:20,2020-02-17 22:37:30,True
15457_490003106E_2020-02-17_0,Warwick Gardens,0,2020-02-18 00:14:46,2020-02-17 23:59:23,True
14576_490003112J_2020-02-17_0,Bedford Street,0,2020-02-17 22:31:28,2020-02-17 22:31:49,True
14468_490003112J_2020-02-17_0,Bedford Street,0,2020-02-17 22:42:13,2020-02-17 22:42:39,True
14462_490003112J_2020-02-17_0,Bedford Street,0,2020-02-17 22:50:58,2020-02-17 22:51:15,True
